time,amp
0.0,0.0016054213
0.1,-0.037401944
0.2,-0.035371482
0.30000000000000004,-0.035809875
0.4,-0.039313823
0.5,-0.038134545
0.6000000000000001,-0.04206407
0.7000000000000001,-0.039437354
0.8,-0.0390248
0.9,-0.039888978
1.0,-0.036496222
1.1,-0.038892955
1.2000000000000002,-0.043503672
1.3,-0.037812054
1.4000000000000001,-0.044210672
1.5,-0.04345694
1.6,-0.041426748
1.7000000000000002,-0.045526266
1.8,-0.04587978
1.9000000000000001,-0.044700712
2.0,-0.040967494
2.1,-0.043108642
2.2,-0.04320681
2.3000000000000003,-0.04245332
2.4000000000000004,-0.045446366
2.5,-0.04494822
2.6,-0.041555703
2.7,-0.044718713
2.8000000000000003,-0.041751772
2.9000000000000004,-0.04568106
3.0,-0.04416156
3.1,-0.04553643
3.2,-0.045294136
3.3000000000000003,-0.04658389
3.4000000000000004,-0.047874123
3.5,-0.046865076
3.6,-0.044579268
3.7,-0.047827423
3.8000000000000003,-0.04886207
3.9000000000000004,-0.047938377
4.0,-0.04761094
4.1000000000000005,-0.0517956
4.2,-0.048743516
4.3,-0.04986307
4.4,-0.049535632
4.5,-0.047590077
4.6000000000000005,-0.048199147
4.7,-0.04446569
4.800000000000001,-0.052396834
4.9,-0.050195932
5.0,-0.05123058
5.1000000000000005,-0.05022177
5.2,-0.048446655
5.300000000000001,-0.04650134
5.4,-0.052729458
5.5,-0.049592048
5.6000000000000005,-0.052244365
5.7,-0.048511386
5.800000000000001,-0.051844627
5.9,-0.04410976
6.0,-0.049060702
6.1000000000000005,-0.048903495
6.2,-0.052406996
6.300000000000001,-0.04918468
6.4,-0.049793303
6.5,-0.050147027
6.6000000000000005,-0.052032858
6.7,-0.052386343
6.800000000000001,-0.051888466
6.9,-0.052156836
7.0,-0.052850574
7.1000000000000005,-0.050735235
7.2,-0.05415362
7.300000000000001,-0.0556992
7.4,-0.053583413
7.5,-0.057087123
7.6000000000000005,-0.054119945
7.7,-0.05413297
7.800000000000001,-0.05329439
7.9,-0.05066812
8.0,-0.055874407
8.1,-0.0553765
8.200000000000001,-0.054708153
8.3,-0.05863768
8.4,-0.05243513
8.5,-0.052363068
8.6,-0.0544191
8.700000000000001,-0.05775261
8.8,-0.054359823
8.9,-0.057097286
9.0,-0.053959846
9.1,-0.05363244
9.200000000000001,-0.059690088
9.3,-0.056552917
9.4,-0.056565702
9.5,-0.056408525
9.600000000000001,-0.052419692
9.700000000000001,-0.05737087
9.8,-0.057042956
9.9,-0.058588564
10.0,-0.05553624
10.100000000000001,-0.059721142
10.200000000000001,-0.06075555
10.3,-0.057107687
10.4,-0.057801396
10.5,-0.05670771
10.600000000000001,-0.059189558
10.700000000000001,-0.05690378
10.8,-0.059981674
10.9,-0.063996345
11.0,-0.05830449
11.100000000000001,-0.05797705
11.200000000000001,-0.058671027
11.3,-0.05851358
11.4,-0.05937779
11.5,-0.0614343
11.600000000000001,-0.05829689
11.700000000000001,-0.059927583
11.8,-0.06223899
11.9,-0.061570853
12.0,-0.06515971
12.100000000000001,-0.062022507
12.200000000000001,-0.06314206
12.3,-0.0628995
12.4,-0.062486738
12.5,-0.062073946
12.600000000000001,-0.05978793
12.700000000000001,-0.06380257
12.8,-0.06373027
12.9,-0.061699808
13.0,-0.061287045
13.100000000000001,-0.06453541
13.200000000000001,-0.064207524
13.3,-0.06072986
13.4,-0.062956154
13.5,-0.063735455
13.600000000000001,-0.059916854
13.700000000000001,-0.061802924
13.8,-0.067435
13.9,-0.06472364
14.0,-0.06720549
14.100000000000001,-0.06781435
14.200000000000001,-0.064932495
14.3,-0.06639275
14.4,-0.06572437
14.5,-0.06667417
14.600000000000001,-0.066601604
14.700000000000001,-0.06482676
14.8,-0.06884116
14.9,-0.066300035
15.0,-0.066568166
15.100000000000001,-0.06351611
15.200000000000001,-0.07229841
15.3,-0.06635147
15.4,-0.07096192
15.5,-0.06680289
15.600000000000001,-0.06630498
15.700000000000001,-0.06495571
15.8,-0.06658617
15.9,-0.0643855
16.0,-0.06874037
16.1,-0.06900874
16.2,-0.06774458
16.3,-0.063841105
16.400000000000002,-0.06496066
16.5,-0.06803879
16.6,-0.06796649
16.7,-0.06533998
16.8,-0.069354415
16.900000000000002,-0.073369056
17.0,-0.06733677
17.1,-0.06641328
17.2,-0.067022145
17.3,-0.07129213
17.400000000000002,-0.07292262
17.5,-0.06893402
17.6,-0.07039404
17.7,-0.07313171
17.8,-0.07646498
17.900000000000002,-0.071624994
18.0,-0.07248896
18.1,-0.07599291
18.2,-0.07106736
18.3,-0.07176155
18.400000000000002,-0.07041204
18.5,-0.074341565
18.6,-0.07631248
18.7,-0.076496005
18.8,-0.07403949
18.900000000000002,-0.07396743
19.0,-0.07474649
19.1,-0.07084304
19.200000000000003,-0.074091166
19.3,-0.0745298
19.400000000000002,-0.077352345
19.5,-0.07472587
19.6,-0.07473865
19.700000000000003,-0.07824263
19.8,-0.07638216
19.900000000000002,-0.07520336
20.0,-0.076833576
20.1,-0.07812384
20.200000000000003,-0.07745546
20.3,-0.079171285
20.400000000000002,-0.078843385
20.5,-0.07698341
20.6,-0.073249936
20.700000000000003,-0.07769041
20.8,-0.07787344
20.900000000000002,-0.078652754
21.0,-0.079942524
21.1,-0.07935952
21.200000000000003,-0.07962766
21.3,-0.079896286
21.400000000000002,-0.07931304
21.5,-0.07609074
21.6,-0.079764456
21.700000000000003,-0.07798959
21.8,-0.07919425
21.900000000000002,-0.07954775
22.0,-0.07658079
22.1,-0.083745435
22.200000000000003,-0.078905225
22.3,-0.078492686
22.400000000000002,-0.07969734
22.5,-0.0820092
22.6,-0.07861619
22.700000000000003,-0.08194992
22.8,-0.08179225
22.900000000000002,-0.08129436
23.0,-0.08360599
23.1,-0.08327857
23.200000000000003,-0.0838023
23.3,-0.078621626
23.400000000000002,-0.08553092
23.5,-0.08358559
23.6,-0.083853975
23.700000000000003,-0.083526075
23.8,-0.085837945
23.900000000000002,-0.08014634
24.0,-0.08245821
24.1,-0.0841738
24.200000000000003,-0.08520846
24.3,-0.08445498
24.400000000000002,-0.07952966
24.5,-0.08473617
24.6,-0.08449362
24.700000000000003,-0.08927432
24.8,-0.08639248
24.900000000000002,-0.08342552
25.0,-0.08403435
25.1,-0.08191879
25.200000000000003,-0.08397508
25.3,-0.08986251
25.400000000000002,-0.0857037
25.5,-0.0853758
